Corpse Bride,2005,Tim Burton,None,7.5
Wszyscy jestesmy Chrystusami,2006,Marek Koterski,Marek Kondrat|Andrzej Chyra,7.1
Dumb & Dumber,1994,Bobby Farrelly,Jeff Daniels|Jim Carrey,6.1
Bridget Jones's Diary,2001,Sharon Maguire,Renée Zellweger|Colin Firth,6.9
The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,Martin Freeman|Ian McKellen,7.2
Jak rozpetalem druga wojne swiatowa,1969,Tadeusz Chmielewski,Marian Kociniak|Wirgiliusz Gryn,7.9
Pi,1998,Darren Aronofsky,Sean Gullette|Mark Margolis,7.4
The Aviator,2004,Martin Scorsese,Leonardo DiCaprio|Cate Blanchett,6.7
Pearl Harbor,2001,Michael Bay,Ben Affleck|Josh Hartnett,7.4
Ted,2012,Seth MacFarlane,Mark Wahlberg|Mila Kunis,6.5
Gravity,2013,Alfonso Cuarón,Sandra Bullock|George Clooney,6.6
Testosteron,2007,Andrzej Saramonowicz,Piotr Adamczyk|Borys Szyc,5.9
Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,Harrison Ford|Mark Hamill,7.3
Men in Black,1997,Barry Sonnenfeld,Tommy Lee Jones|Will Smith,7.1
Captain Phillips,2013,Paul Greengrass,Tom Hanks|Barkhad Abdi,7.7
About Time,2013,Richard Curtis,Domhnall Gleeson|Rachel McAdams,7.6
Casino,1995,Martin Scorsese,Robert De Niro|Sharon Stone,8.1
Raiders of the Lost Ark,1981,Steven Spielberg,Harrison Ford|Karen Allen,7.7
The Judge,2014,David Dobkin,Robert Downey Jr.|Robert Duvall,7.6
The Terminal,2004,Steven Spielberg,Tom Hanks|Catherine Zeta-Jones,7.4
Deja Vu,2006,Tony Scott,Denzel Washington|Val Kilmer,7.3
The Life of David Gale,2003,Alan Parker,Kevin Spacey|Kate Winslet,7.8
Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Liam Neeson|Ewan McGregor,7.2
2012,2009,Roland Emmerich,John Cusack|Amanda Peet,6.2
Dirty Dancing,1987,Emile Ardolino,Jennifer Grey|Patrick Swayze,7.4
Zootopia,2016,Byron Howard,None,7.9
Dom zly,2009,Wojciech Smarzowski,Arkadiusz Jakubik|Marian Dziedziel,7.4
